Question,Table_description ,label
How many institutions are in suburbs,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions are in suburbs,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions are in suburbs,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions are in suburbs,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Which institutions are located in Boston?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Which institutions are located in Boston?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Which institutions are located in Boston?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Which institutions are located in Boston?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Which institutions are located in Boston?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Which institutions are located in Boston?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Can you give me the address of Northeastern University?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Can you give me the address of Northeastern University?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Can you give me the address of Northeastern University?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Can you give me the address of Northeastern University?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,1
Can you give me the address of Northeastern University?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,0
Can you give me the address of Northeastern University?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Which state has the highest number of educational institutions?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Which state has the highest number of educational institutions?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Which state has the highest number of educational institutions?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Which state has the highest number of educational institutions?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Which state has the highest number of educational institutions?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Which state has the highest number of educational institutions?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the name of the institution with the ID 123456?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the name of the institution with the ID 123456?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the name of the institution with the ID 123456?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What is the name of the institution with the ID 123456?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the name of the institution with the ID 123456?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
What is the name of the institution with the ID 123456?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What are the contact details for the financial aid office of a Northeastern University?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What are the contact details for the financial aid office of a Northeastern University?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,1
What are the contact details for the financial aid office of a Northeastern University?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
What are the contact details for the financial aid office of a Northeastern University?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What are the contact details for the financial aid office of a Northeastern University?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,0
What are the contact details for the financial aid office of a Northeastern University?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions have a chief administrator.,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions have a chief administrator.,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions have a chief administrator.,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions have a chief administrator.,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
How many institutions have a chief administrator.,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,0
How many institutions have a chief administrator.,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
"Which institutions are located in Washington, D.C.?",This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
"Which institutions are located in Washington, D.C.?",This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
"Which institutions are located in Washington, D.C.?",This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
"Which institutions are located in Washington, D.C.?",This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
"Which institutions are located in Washington, D.C.?",This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,0
"Which institutions are located in Washington, D.C.?",This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the frequency of institutions by county?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the frequency of institutions by county?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the frequency of institutions by county?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the frequency of institutions by county?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
What is the frequency of institutions by county?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
What is the frequency of institutions by county?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many institutions do not offer any financial aid?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions do not offer any financial aid?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many institutions do not offer any financial aid?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions do not offer any financial aid?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions do not offer any financial aid?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions do not offer any financial aid?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
What is the net price calculator URL for Harvard?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
What is the net price calculator URL for Harvard?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
What is the net price calculator URL for Harvard?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
What is the net price calculator URL for Harvard?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
What is the net price calculator URL for Harvard?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
What is the net price calculator URL for Harvard?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Are there any universities in Hawaii?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Are there any universities in Hawaii?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
Are there any universities in Hawaii?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Are there any universities in Hawaii?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Are there any universities in Hawaii?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,0
Are there any universities in Hawaii?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many institutions have multiple campus locations?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions have multiple campus locations?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions have multiple campus locations?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions have multiple campus locations?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many institutions have multiple campus locations?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions have multiple campus locations?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many institutions have a specific accreditation status?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions have a specific accreditation status?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions have a specific accreditation status?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many institutions have a specific accreditation status?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
How many institutions have a specific accreditation status?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
How many institutions have a specific accreditation status?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Which institution has the longest name?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Which institution has the longest name?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Which institution has the longest name?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Which institution has the longest name?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Which institution has the longest name?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Which institution has the longest name?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
Can you provide a list of all private colleges in Massachusetts?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
Can you provide a list of all private colleges in Massachusetts?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
Can you provide a list of all private colleges in Massachusetts?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
Can you provide a list of all private colleges in Massachusetts?,This table contains the number of programs offered by type of program; level of award (certificate or degree); and distance education status. Type of program is categorized according to the 2020 Classification of Instructional Programs (CIP); a detailed coding system for postsecondary instructional programs. Beginning in 2019-20; the less than 1-year certificate award level is divided into the following two award levels certificates of less than 12 weeks and certificates of at least 12 weeks but less than 1 year. More detailed information on distance education was also added in 2019-20. This file contains multiple records per institution,1
Can you provide a list of all private colleges in Massachusetts?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,0
Can you provide a list of all private colleges in Massachusetts?,This table contains the unduplicated headcount of students enrolled over the 12-month period (July 1; 2021 - June 30; 2022) by distance education status and level of student,0
How many institutions have Asians?,This table contains data for branch campus locations from the 2022-23 IPEDS universe that were listed in College Navigator. This is not a comprehensive list of all Title IV branch campus locations in the U.S. and other jurisdictions. Main campus institutions that report to IPEDS have the option to list their branch campus locations in College Navigator. In the 2022-23 data collection; 191 main campus institutions reported a total of 504 branch locations. The number of provisionally released branch,1
How many institutions have Asians?,This table contains the graduation rate status as of August 31; 2022; for the cohort of full-time; first-time degree or certificate-seeking undergraduates in both four-year and two-year institutions,1
How many institutions have Asians?,This table contains information about the undergraduate selection process for entering first-time; degree or certificate-seeking students. This includes information about admission considerations; applicants; applicants that were admitted; and admitted students who enrolled. SAT and ACT test scores are included for institutions that require or consider test scores for admission. These data are applicable for institutions that do not have an open admissions policy for entering first-time students,1
How many institutions have Asians?,This table contains directory information for every institution in the 2022-23 IPEDS universe. Includes name; address; city; state; zip code and various URL links to the institution's home page; admissions; financial aid offices; and the net price calculator. Identifies institutions as currently active; and institutions that participate in Title IV federal financial aid programs for which IPEDS is mandatory,1
